
  +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
  +  SHELXD 2013/2     MACROMOLECULAR DIRECT AND PATTERSON METHODS  +
  +  Copyright(c) George M. Sheldrick 2000-2013  Multi-CPU version  +
  +  fae_kappa_fa               started at 10:54:48 on 13 Mar 2017  +
  +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

 12 threads running in parallel on 12 CPUs

 Read instructions and process reflection data
 =============================================
 SHEL  dmax  999.00   dmin   3.00
 MIND  mdis -1.000   mdeq  2.200
 FRES  res  2.5
 SEED  nrand      1
 PATS  np  100   npt    99999   nf     5
 PSMF  pres  2.5   psfac  0.340
 FIND  na    16   ncy      20
 DSUL  nss    0   dss 2.030
 TANG  ftan -0.900   fex 0.400
 NTPR  ntpr   100
 SKIP  min2   0.0
 ESEL  Emin   1.500   I/sigI 0.500
 WEED  fro  0.000
 CCWT  g   0.010
 WEAK  wwk   1.000
 MAGI  wd   0.000   d1   5.200   d2   6.500
 NCS   ncs  0   wn   5.000   tol   0.500
 NTRY  ntry      1000
 ===============================================================================
  13008 unique data with d > 3.00A,  mean(I/sigma) =  1.73,  mean|E^2-1| = 0.937
 Try    186, CPU11, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    187, CPU 9, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    188, CPU 3, CC All/Weak 36.3 / 19.3, CFOM 55.6, best 89.6, PATFOM   3.88
 Try    189, CPU 1, CC All/Weak 14.8 /  2.7, CFOM 17.5, best 89.6, PATFOM   1.95
 Try    190, CPU10, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    191, CPU 7, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    192, CPU12, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    193, CPU 6, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    194, CPU 2, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    195, CPU 5, CC All/Weak 35.2 / 18.0, CFOM 53.2, best 89.6, PATFOM   3.69
 Try    196, CPU 8, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    197, CPU11, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    198, CPU 9, CC All/Weak 15.1 /  4.1, CFOM 19.2, best 89.6, PATFOM   2.19
 Try    199, CPU 1, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    200, CPU 3, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    201, CPU 4, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    202, CPU 7, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    203, CPU12, CC All/Weak 36.2 / 20.5, CFOM 56.7, best 89.6, PATFOM   3.76
 Try    204, CPU10, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    205, CPU 2, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    206, CPU 6, CC All/Weak 13.9 /  3.3, CFOM 17.2, best 89.6, PATFOM   1.51
 Try    207, CPU 5, CC All/Weak 15.1 /  4.3, CFOM 19.4, best 89.6, PATFOM   1.60
 Try    208, CPU 8, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    209, CPU11, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    210, CPU 9, CC All/Weak 17.1 /  5.6, CFOM 22.7, best 89.6, PATFOM   1.90
 Try    211, CPU 1, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    212, CPU 3, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    213, CPU12, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    214, CPU 7, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    215, CPU 2, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.63
 Try    216, CPU10, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    217, CPU 4, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    218, CPU 6, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    219, CPU 8, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    220, CPU 5, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try    221, CPU 1, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try    222, CPU 9, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
